scan,target,object,human_bottom_truth,script_bottom_call,error,bug_present,possible_multiple,tip_pale_total_area_px,tip_pale_largest_fill_ratio,tip_dark_total_area_px,tip_colored_total_area_px,image
scan_20260817_131238,11,93,positive,positive,match,True,False,11030.0,0.7028163629412514,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_011_object_000093_20260817_134427_bottom.png
scan_20260817_131238,12,11,negative,positive,false_positive,True,False,10261.5,0.6126268656716418,53.0,173.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_012_object_000011_20260817_132233_bottom.png
scan_20260817_131238,12,94,positive,positive,match,True,False,6466.0,0.4327750874361044,21.5,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_012_object_000094_20260817_134445_bottom.png
scan_20260817_131238,13,13,positive,negative,false_negative,False,False,3667.0,0.4794949494949495,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_013_object_000013_20260817_132251_bottom.png
scan_20260817_131238,13,95,positive,positive,match,True,False,11185.5,0.7008458646616541,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_013_object_000095_20260817_134504_bottom.png
scan_20260817_131238,14,12,positive,positive,match,True,False,11253.5,0.6693202146690519,195.5,890.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_014_object_000012_20260817_132301_bottom.png
scan_20260817_131238,14,96,positive,positive,match,True,False,11567.0,0.7285840262030738,528.0,382.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_014_object_000096_20260817_134522_bottom.png
scan_20260817_131238,15,15,negative,positive,false_positive,True,False,10604.5,0.6803911477097272,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_015_object_000015_20260817_132319_bottom.png
scan_20260817_131238,15,97,positive,positive,match,True,False,6791.0,0.4185038868357334,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_015_object_000097_20260817_134539_bottom.png
scan_20260817_131238,16,17,positive,negative,false_negative,False,False,5350.0,0.2950435729847495,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_016_object_000017_20260817_132336_bottom.png
scan_20260817_131238,16,98,positive,positive,match,True,False,11269.5,0.6541386115625726,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_016_object_000098_20260817_134558_bottom.png
scan_20260817_131238,17,16,positive,negative,false_negative,False,False,3304.0,0.3854775828460039,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_017_object_000016_20260817_132347_bottom.png
scan_20260817_131238,17,99,positive,positive,match,True,False,6063.0,0.3692669172932331,100.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_017_object_000099_20260817_134616_bottom.png
scan_20260817_131238,18,18,positive,positive,match,True,False,4744.5,0.2892522470835724,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_018_object_000018_20260817_132357_bottom.png
scan_20260817_131238,18,100,positive,positive,match,True,False,11542.5,0.7270408163265306,932.0,744.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_018_object_000100_20260817_134634_bottom.png
scan_20260817_131238,19,19,positive,positive,match,True,False,4644.5,0.28000973946919894,750.0,680.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_019_object_000019_20260817_132415_bottom.png
scan_20260817_131238,19,101,negative,positive,false_positive,True,False,11118.5,0.7031684796357197,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_019_object_000101_20260817_134652_bottom.png
scan_20260817_131238,20,21,positive,positive,match,True,False,4127.0,0.2491771159874608,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_020_object_000021_20260817_132433_bottom.png
scan_20260817_131238,20,102,positive,positive,match,True,False,11152.0,0.6848440186686318,43.5,76.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_020_object_000102_20260817_134710_bottom.png
scan_20260817_131238,21,20,positive,negative,false_negative,False,False,4678.5,0.3604696419304619,61.5,40.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_021_object_000020_20260817_132451_bottom.png
scan_20260817_131238,21,103,negative,positive,false_positive,True,False,11264.5,0.7064154019816882,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_021_object_000103_20260817_134728_bottom.png
scan_20260817_131238,22,22,positive,positive,match,True,False,4739.0,0.26698137949121425,292.5,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_022_object_000022_20260817_132501_bottom.png
scan_20260817_131238,22,105,positive,positive,match,True,False,11530.0,0.7262534643487024,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_022_object_000105_20260817_134746_bottom.png
scan_20260817_131238,23,23,negative,positive,false_positive,True,False,10629.5,0.6816456510550695,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_023_object_000023_20260817_132519_bottom.png
scan_20260817_131238,23,104,negative,positive,false_positive,True,False,11184.5,0.7073425246648115,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_023_object_000104_20260817_134804_bottom.png
scan_20260817_131238,24,25,negative,positive,false_positive,True,False,6868.0,0.3891967706622879,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_024_object_000025_20260817_132537_bottom.png
scan_20260817_131238,24,106,positive,positive,match,True,False,10890.0,0.7324455205811138,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_024_object_000106_20260817_134822_bottom.png
scan_20260817_131238,25,24,positive,negative,false_negative,False,False,3573.5,0.3034013605442177,42.5,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_025_object_000024_20260817_132555_bottom.png
scan_20260817_131238,25,107,positive,positive,match,True,False,11225.5,0.7039696475605167,748.5,536.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_025_object_000107_20260817_134840_bottom.png
scan_20260817_131238,26,26,positive,positive,match,True,False,6695.0,0.42593548387096775,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_026_object_000026_20260817_132606_bottom.png
scan_20260817_131238,26,109,positive,positive,match,True,False,11560.0,0.7224096987876515,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_026_object_000109_20260817_134858_bottom.png
scan_20260817_131238,27,28,positive,positive,match,True,False,6686.0,0.45829828987945054,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_027_object_000028_20260817_132624_bottom.png
scan_20260817_131238,27,108,positive,positive,match,True,False,11044.5,0.7037402829106665,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_027_object_000108_20260817_134916_bottom.png
scan_20260817_131238,28,27,positive,positive,match,True,False,7763.5,0.4929206349206349,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_028_object_000027_20260817_132642_bottom.png
scan_20260817_131238,28,110,positive,positive,match,True,False,10907.5,0.7394915254237289,20.5,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_028_object_000110_20260817_134934_bottom.png
scan_20260817_131238,29,29,negative,positive,false_positive,True,False,10467.5,0.688198553583169,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_029_object_000029_20260817_132709_bottom.png
scan_20260817_131238,29,111,positive,positive,match,True,False,11215.5,0.7027255639097745,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_029_object_000111_20260817_134952_bottom.png
scan_20260817_131238,30,30,positive,positive,match,True,False,11169.0,0.66296826533047,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_030_object_000030_20260817_132727_bottom.png
scan_20260817_131238,30,112,positive,positive,match,True,False,11541.5,0.7269778281683044,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_030_object_000112_20260817_135010_bottom.png
scan_20260817_131238,31,31,positive,positive,match,True,False,4285.5,0.2681505926724138,75.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_031_object_000031_20260817_132745_bottom.png
scan_20260817_131238,31,113,positive,positive,match,True,False,11086.0,0.7004486004928288,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_031_object_000113_20260817_135028_bottom.png
scan_20260817_131238,32,32,negative,positive,false_positive,True,False,6830.0,0.3935817805383023,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_032_object_000032_20260817_132803_bottom.png
scan_20260817_131238,32,114,positive,positive,match,True,False,6600.0,0.3879136400322841,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_032_object_000114_20260817_135047_bottom.png
scan_20260817_131238,33,33,positive,positive,match,True,False,6298.5,0.4496301775147929,164.5,106.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_033_object_000033_20260817_132820_bottom.png
scan_20260817_131238,33,115,positive,positive,match,True,False,11116.0,0.6478988168094655,54.5,58.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_033_object_000115_20260817_135105_bottom.png
scan_20260817_131238,34,34,positive,negative,false_negative,False,False,3439.5,0.344636524822695,47.5,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_034_object_000034_20260817_132838_bottom.png
scan_20260817_131238,34,117,positive,positive,match,True,False,11445.5,0.6987484737484737,0.0,83.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_034_object_000117_20260817_135123_bottom.png
scan_20260817_131238,35,35,positive,positive,match,True,False,4451.0,0.2750144592249855,30.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_035_object_000035_20260817_132849_bottom.png
scan_20260817_131238,35,116,positive,positive,match,True,False,10972.5,0.6991525423728814,0.0,49.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_035_object_000116_20260817_135141_bottom.png
scan_20260817_131238,36,39,positive,positive,match,True,False,10202.0,0.5880579710144928,63.0,202.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_036_object_000039_20260817_132907_bottom.png
scan_20260817_131238,36,118,positive,positive,match,True,False,10892.5,0.7326136669357008,60.0,115.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_036_object_000118_20260817_135159_bottom.png
scan_20260817_131238,37,38,positive,positive,match,True,False,10442.0,0.6865220249835634,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_037_object_000038_20260817_132925_bottom.png
scan_20260817_131238,37,119,negative,positive,false_positive,True,False,11268.0,0.7007462686567164,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_037_object_000119_20260817_135218_bottom.png
scan_20260817_131238,38,40,positive,positive,match,True,False,2896.5,0.21855744835085175,496.0,317.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_038_object_000040_20260817_132943_bottom.png
scan_20260817_131238,38,120,negative,positive,false_positive,True,False,11519.0,0.7198475190601175,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_038_object_000120_20260817_135236_bottom.png
scan_20260817_131238,39,41,positive,positive,match,True,False,10642.0,0.683060988162635,0.0,22.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_039_object_000041_20260817_133001_bottom.png
scan_20260817_131238,39,121,negative,positive,false_positive,True,False,11122.5,0.7027547861249763,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_039_object_000121_20260817_135253_bottom.png
scan_20260817_131238,40,42,positive,negative,false_negative,False,False,2738.0,0.43478260869565216,129.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_040_object_000042_20260817_133019_bottom.png
scan_20260817_131238,40,122,negative,positive,false_positive,True,False,10983.0,0.7267253358036128,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_040_object_000122_20260817_135311_bottom.png
scan_20260817_131238,41,43,positive,positive,match,True,False,4349.5,0.26610352264557874,21.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_041_object_000043_20260817_133029_bottom.png
scan_20260817_131238,41,123,negative,positive,false_positive,True,False,11235.5,0.7045967640787658,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_041_object_000123_20260817_135329_bottom.png
scan_20260817_131238,42,44,positive,positive,match,True,False,5570.0,0.34645417306707627,2338.0,2775.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_042_object_000044_20260817_133047_bottom.png
scan_20260817_131238,42,124,positive,positive,match,True,False,11544.5,0.7271667926429831,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_042_object_000124_20260817_135347_bottom.png
scan_20260817_131238,43,45,positive,positive,match,True,False,10567.0,0.6798121461657232,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_043_object_000045_20260817_133104_bottom.png
scan_20260817_131238,43,125,positive,positive,match,True,False,11090.0,0.70136605110043,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_043_object_000125_20260817_135405_bottom.png
scan_20260817_131238,44,46,positive,positive,match,True,False,5481.5,0.3636767925561029,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_044_object_000046_20260817_133122_bottom.png
scan_20260817_131238,44,126,positive,positive,match,True,False,10880.0,0.7376271186440678,79.5,59.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_044_object_000126_20260817_135423_bottom.png
scan_20260817_131238,45,47,positive,positive,match,True,False,10365.5,0.6757170795306389,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_045_object_000047_20260817_133140_bottom.png
scan_20260817_131238,45,127,negative,positive,false_positive,True,False,11257.0,0.7000621890547264,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_045_object_000127_20260817_135441_bottom.png
scan_20260817_131238,46,48,positive,positive,match,True,False,11024.0,0.6977393954787909,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_046_object_000048_20260817_133157_bottom.png
scan_20260817_131238,46,128,positive,positive,match,True,False,11361.5,0.7156399596875788,47.5,135.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_046_object_000128_20260817_135459_bottom.png
scan_20260817_131238,47,49,positive,positive,match,True,False,5097.5,0.3186738397718434,0.0,24.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_047_object_000049_20260817_133215_bottom.png
scan_20260817_131238,47,129,positive,positive,match,True,False,11084.5,0.7062890276538805,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_047_object_000129_20260817_135517_bottom.png
scan_20260817_131238,48,50,positive,negative,false_negative,False,False,4054.5,0.4268429487179487,101.5,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_048_object_000050_20260817_133232_bottom.png
scan_20260817_131238,48,130,positive,positive,match,True,False,7998.0,0.5468717948717948,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_048_object_000130_20260817_135535_bottom.png
scan_20260817_131238,49,51,positive,negative,false_negative,False,False,5455.0,0.3504602235371466,39.5,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_049_object_000051_20260817_133243_bottom.png
scan_20260817_131238,49,132,negative,positive,false_positive,True,False,11238.0,0.7047535432083281,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_049_object_000132_20260817_135553_bottom.png
scan_20260817_131238,50,52,positive,positive,match,True,False,7589.5,0.29748801006368425,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_050_object_000052_20260817_133254_bottom.png
scan_20260817_131238,50,131,positive,positive,match,True,False,11467.5,0.7223167044595616,53.5,53.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_050_object_000131_20260817_135611_bottom.png
scan_20260817_131238,51,53,positive,positive,match,True,False,10555.0,0.684145709100337,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_051_object_000053_20260817_133312_bottom.png
scan_20260817_131238,51,133,negative,positive,false_positive,True,False,11129.0,0.6986189579409918,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_051_object_000133_20260817_135629_bottom.png
scan_20260817_131238,52,55,positive,positive,match,True,False,4864.5,0.2702012136697541,343.5,150.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_052_object_000055_20260817_133330_bottom.png
scan_20260817_131238,52,134,positive,positive,match,True,False,10903.0,0.7275457093287068,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_052_object_000134_20260817_135647_bottom.png
scan_20260817_131238,53,54,positive,positive,match,True,False,4198.5,0.2680802103879027,80.5,45.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_053_object_000054_20260817_133347_bottom.png
scan_20260817_131238,53,135,negative,positive,false_positive,True,False,11280.0,0.7014925373134329,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_053_object_000135_20260817_135706_bottom.png
scan_20260817_131238,54,56,positive,positive,match,True,False,2162.0,0.3205357142857143,552.5,972.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_054_object_000056_20260817_133405_bottom.png
scan_20260817_131238,54,136,negative,positive,false_positive,True,False,11528.0,0.7261274880322499,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_054_object_000136_20260817_135723_bottom.png
scan_20260817_131238,55,57,positive,positive,match,True,False,10102.5,0.5122971602434077,54.5,56.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_055_object_000057_20260817_133423_bottom.png
scan_20260817_131238,55,137,negative,positive,false_positive,True,False,11141.0,0.6986705129813119,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_055_object_000137_20260817_135741_bottom.png
scan_20260817_131238,56,58,negative,negative,match,False,False,6835.0,0.38854679802955666,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_056_object_000058_20260817_133441_bottom.png
scan_20260817_131238,56,138,negative,positive,false_positive,True,False,10966.5,0.7317829974643,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_056_object_000138_20260817_135759_bottom.png
scan_20260817_131238,57,59,positive,positive,match,True,False,5200.5,0.2727894479726429,1772.0,2494.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_057_object_000059_20260817_133451_bottom.png
scan_20260817_131238,57,139,positive,positive,match,True,False,11281.5,0.7074815000627116,172.0,210.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_057_object_000139_20260817_135817_bottom.png
scan_20260817_131238,58,60,positive,positive,match,True,False,5583.5,0.3408792650918635,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_058_object_000060_20260817_133509_bottom.png
scan_20260817_131238,58,140,negative,positive,false_positive,True,False,11554.0,0.7277651801461326,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_058_object_000140_20260817_135835_bottom.png
scan_20260817_131238,59,61,positive,positive,match,True,False,5416.0,0.31590967575913537,28.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_059_object_000061_20260817_133527_bottom.png
scan_20260817_131238,59,141,negative,positive,false_positive,True,False,11134.0,0.6982315314185376,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_059_object_000141_20260817_135853_bottom.png
scan_20260817_131238,60,63,positive,positive,match,True,False,3317.5,0.24500117619383674,2668.5,2018.5,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_060_object_000063_20260817_133545_bottom.png
scan_20260817_131238,60,142,negative,positive,false_positive,True,False,10987.5,0.7331843053516616,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_060_object_000142_20260817_135911_bottom.png
scan_20260817_131238,61,62,positive,positive,match,True,False,4187.0,0.23413120567375886,96.5,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_061_object_000062_20260817_133602_bottom.png
scan_20260817_131238,61,144,negative,positive,false_positive,True,False,11263.5,0.7004664179104477,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_061_object_000144_20260817_135929_bottom.png
scan_20260817_131238,62,64,positive,positive,match,True,False,5040.0,0.2968487394957983,2281.5,3768.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_062_object_000064_20260817_133620_bottom.png
scan_20260817_131238,62,143,positive,positive,match,True,False,8464.5,0.5250692869740489,114.0,275.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_062_object_000143_20260817_135947_bottom.png
scan_20260817_131238,63,67,negative,positive,false_positive,True,False,10590.5,0.6813239835306227,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_063_object_000067_20260817_133637_bottom.png
scan_20260817_131238,64,66,positive,negative,false_negative,False,False,3795.5,0.2692131398013751,0.0,0.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_064_object_000066_20260817_133654_bottom.png
scan_20260817_131238,65,65,positive,positive,match,True,False,3371.5,0.1850153846153846,59.5,25.0,/home/biokea-06/.openpnp2/scans/scan_20260817_131238/bottom_inspections/target_065_object_000065_20260817_133705_bottom.png
